Names,adress,description,WebSite,Suggested duration,open during,category,near_res,near_att,info,gps,img_url
Rue Dar el Bacha,"Dar El Bacha, Rue Lalla Fatima Zahra, Marrakech 40000","Dar el Bacha, more rarely called Dar el Glaoui, is a palace located in the medina of Marrakech, Morocco. It belonged to Thami El Glaoui, powerful pasha of Marrakech during the protectorate.",,,,Neighborhoods,"Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Terrasse de la fontaine,Dar Cherifa,Chez Yassine,Ksar Es Saoussan,Kui-Zin Médina,Beats Burger,",", '', ,","Rue Dar el Bacha ; Dar El Bacha, Rue Lalla Fatima Zahra, Marrakech 40000 ; Dar el Bacha, more rarely called Dar el Glaoui, is a palace located in the medina of Marrakech, Morocco. It belonged to Thami El Glaoui, powerful pasha of Marrakech during the protectorate. ; Neighborhoods ; Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Terrasse de la fontaine,Dar Cherifa,Chez Yassine,Ksar Es Saoussan,Kui-Zin Médina,Beats Burger,",,https://riadaguaviva.com/wp-content/uploads/2015/12/kui-zin-restaurant-marrakech-terrace.jpg
Rue du Mouassine Morocco Travel Guide,"AddressRue Mouassine, Marrakech 42152 Morocco","Marrakech’s hippest shopping destination is rue Mouassine in the Marrakech Medina. Bab Laksour and the Marrakech medina’s Mouassine district is an intimate introduction for first time visitors to Marrakech. The Mouassine in the Marrakech medina boasts many trendy, fashionable boutiques, antiques dealers along with arts and crafts shops. The Mouassine has become one of the best places to shop in Marrakech. One of the easiest ways to get to Bab Laksour and the Mouassine is from Avenue Mohammed V just after the Ensemble de Artisans which leads to rue Laksour. This route offers an alternative to entering via the Jemma El Fna and the crowded souks.",,,9:00 AM - 9:00 PM,Scenic Drives,"Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Terrasse de la fontaine,Dar Cherifa,Chez Yassine,Gastro MK at Maison MK,Ksar Es Saoussan,Taj Moroccan Food,",", '', ,","Rue du Mouassine Morocco Travel Guide ; AddressRue Mouassine, Marrakech 42152 Morocco ; Marrakech’s hippest shopping destination is rue Mouassine in the Marrakech Medina. Bab Laksour and the Marrakech medina’s Mouassine district is an intimate introduction for first time visitors to Marrakech. The Mouassine in the Marrakech medina boasts many trendy, fashionable boutiques, antiques dealers along with arts and crafts shops. The Mouassine has become one of the best places to shop in Marrakech. One of the easiest ways to get to Bab Laksour and the Mouassine is from Avenue Mohammed V just after the Ensemble de Artisans which leads to rue Laksour. This route offers an alternative to entering via the Jemma El Fna and the crowded souks. ; Scenic Drives ; Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Terrasse de la fontaine,Dar Cherifa,Chez Yassine,Gastro MK at Maison MK,Ksar Es Saoussan,Taj Moroccan Food,",,https://media-cdn.tripadvisor.com/media/photo-s/05/6f/1c/af/so-lounge.jpg
Adouar Marrakech,"AddressDouar Oulad Mansour Wahat Sidi Brahim, Marrakech 40000 Morocco","At Little Morocco Park, visitors discover a culture. Day and night, they leave for a great trip in traditional Morocco in total freedom! UNFORGETTABLE MOMENTS Coming to Little Morocco Park is the promise of unforgettable moments, full of emotions to share with family or friends. And if travelers come to Little Morocco Park to vibrate and be moved, it is that we are carriers of values and universal emotions that touch the hearts of visitors of all ages. THE PARK OF EMOTION Our space and our activities are designed to make you discover the richness of the culture of Morocco, but the emotion remains at the heart of the concept of Little Morocco Park. Visitors must be transported by the poetry of a text, the beauty of a gesture, the purity of a music ... A UNIQUE EMOTION It only takes a second to give birth to this unique emotion, this thrill!",http://www.adouar.com/,More than 3 hours,9:00 AM - 8:00 PM,Points of Interest & Landmarks,"La Finca Marrakech,Samakhouse,La Rotisserie Los Pollos Hermanos,Le Bistrot des Artistes,Copacabana,Hotel Restaurant Amnougour,La Table Des Oliviers,Restaurant Les Frères,Le Caravane,","Palácio da Bahia,Jardin Majorelle,Medina of Marrakesh,Sahara Riders,Jemaa el-Fnaa,Boucharouite Museum,The Orientalist Museum of Marrakech,Koubba Almoravid,Musée Tiskiwin,","Adouar Marrakech ; AddressDouar Oulad Mansour Wahat Sidi Brahim, Marrakech 40000 Morocco ; At Little Morocco Park, visitors discover a culture. Day and night, they leave for a great trip in traditional Morocco in total freedom! UNFORGETTABLE MOMENTS Coming to Little Morocco Park is the promise of unforgettable moments, full of emotions to share with family or friends. And if travelers come to Little Morocco Park to vibrate and be moved, it is that we are carriers of values and universal emotions that touch the hearts of visitors of all ages. THE PARK OF EMOTION Our space and our activities are designed to make you discover the richness of the culture of Morocco, but the emotion remains at the heart of the concept of Little Morocco Park. Visitors must be transported by the poetry of a text, the beauty of a gesture, the purity of a music ... A UNIQUE EMOTION It only takes a second to give birth to this unique emotion, this thrill! ; Points of Interest & Landmarks ; La Finca Marrakech,Samakhouse,La Rotisserie Los Pollos Hermanos,Le Bistrot des Artistes,Copacabana,Hotel Restaurant Amnougour,La Table Des Oliviers,Restaurant Les Frères,Le Caravane,",/maps/dir//Adouar+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdaff3a5a5b3c079:0x28a083a7009fb433?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/21/75/26/ed/le-tanjia.jpg
Royal Palace of Marrakech,"Royal Palace , Marrakech, Morocco","Although you are not allowed to go inside the palace, it is still interesting to see from the outside from an architectural and historical standpoint. Plus, you’ll get a breather from the hustle and bustle of the center of town.",,< 1 hour,,Architectural Buildings, , ,"Royal Palace of Marrakech ; Royal Palace , Marrakech, Morocco ; Although you are not allowed to go inside the palace, it is still interesting to see from the outside from an architectural and historical standpoint. Plus, you’ll get a breather from the hustle and bustle of the center of town. ; Architectural Buildings ;  ",,https://media-cdn.tripadvisor.com/media/photo-s/28/40/44/0d/le-restaurant-l-auberge.jpg
Dar Bellarj,"J2J7+WCM, Marrakech 40000","Dar Bellarj, or the foundation for the protection of Moroccan culture... in all its forms. Here, in this ancient sanctuary of wounded storks, of which Susanna Biedermann and Max Alioth are the founders, the Dar Bellarj Foundation has opened, which offers a series of temporary exhibitions, concerts and workshops. The place alone is worth the trip.",https://www.tripadvisor.com/Attractions-g293734-Activities-c47-Marrakech_Marrakech_Safi.html,,,Points of Interest & Landmarks, , ,"Dar Bellarj ; J2J7+WCM, Marrakech 40000 ; Dar Bellarj, or the foundation for the protection of Moroccan culture... in all its forms. Here, in this ancient sanctuary of wounded storks, of which Susanna Biedermann and Max Alioth are the founders, the Dar Bellarj Foundation has opened, which offers a series of temporary exhibitions, concerts and workshops. The place alone is worth the trip. ; Points of Interest & Landmarks ;  ",/maps/dir//Dar+Bellarj+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6bd3c38d41:0xbf9ad9a1a39ab07c?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/0f/1a/8a/bf/terrasse-2.jpg
Souk El Khemis,"AddressBab El Kemich Marakech,Marocco, Marrakech 40000 Morocco","A souk, open to all, where we find craftsmen, blacksmiths and some antique dealers. On the other side of the el Khemis garden, every day of the week, and especially on Thursday and Sunday mornings, street vendors spread their goods on the ground. There is everything, from the most banal to the most unusual!",https://www.tripadvisor.com/Attractions-g293734-Activities-c47-Marrakech_Marrakech_Safi.html,,,Points of Interest & Landmarks, , ,"Souk El Khemis ; AddressBab El Kemich Marakech,Marocco, Marrakech 40000 Morocco ; A souk, open to all, where we find craftsmen, blacksmiths and some antique dealers. On the other side of the el Khemis garden, every day of the week, and especially on Thursday and Sunday mornings, street vendors spread their goods on the ground. There is everything, from the most banal to the most unusual! ; Points of Interest & Landmarks ;  ",/maps/dir//Souk+El+Khemis+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee7106877eef:0xc9d16f42cc35e6c9?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/05/d4/d0/33/le-blokk.jpg
Koubba Almoravid,"AddressYoussef Mosque, Marrakech 40000 Morocco","The qoubba al-Baadiyn or al-Barudiyyin or Almoravid is a religious building in Marrakech erected in 1117 by Ali ben Youssef. It is the last vestige of the Almoravid dynasty in Morocco.
The qubba was the center of ablution for believers going to the mosque.",https://www.tripadvisor.com/RestaurantsNear-g293734-d478124-Koubba_Almoravid-Marrakech_Marrakech_Safi.html,,9:00 AM - 7:00 PM,Points of Interest & Landmarks,", '', ,","Palácio da Bahia,Jardin Majorelle,Medina of Marrakesh,Sahara Riders,Jemaa el-Fnaa,Boucharouite Museum,Berber Cultural Center,The Orientalist Museum of Marrakech,Adouar Marrakech,","Koubba Almoravid ; AddressYoussef Mosque, Marrakech 40000 Morocco ; The qoubba al-Baadiyn or al-Barudiyyin or Almoravid is a religious building in Marrakech erected in 1117 by Ali ben Youssef. It is the last vestige of the Almoravid dynasty in Morocco.
The qubba was the center of ablution for believers going to the mosque. ; Points of Interest & Landmarks ; , '', ,",/maps/dir//Koubba+Almoravid+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6984fdcb71:0xfd88824c8bb12cf5?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1a/34/8b/80/photo1jpg.jpg
Ben Youssef Mosque,Marrakech 40000,"The Ben Youssef Mosque is a mosque in the Medina of Marrakech, Morocco, named after the Almoravid emir Ali ben Youssef. It is one of the oldest mosques in Marrakech.",,,,Historic Sites • Religious Sites,", '', ,","Bab el Marsa,Erg Chebbi Dunes,Hassan II Mosque,Quartier Habous,Musée Abderrahman Slaoui,Notre Dame de Lourdes,Crazy Park,Mahkama du Pacha,New Medina of Casablanca,","Ben Youssef Mosque ; Marrakech 40000 ; The Ben Youssef Mosque is a mosque in the Medina of Marrakech, Morocco, named after the Almoravid emir Ali ben Youssef. It is one of the oldest mosques in Marrakech. ; Historic Sites • Religious Sites ; , '', ,",/maps/dir//Ben+Youssef+Mosque+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee69803640af:0xb8f6cbaeb295983b?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/1e/e3/11/a2/love-is-all-we-need-koulchi.jpg
Le Domaine Du Retro,"AddressDouar Nouaji Sidi Bouothmane Jbilate, Marrakech 40000 Morocco","The Domaine du Retro is one of those confidential addresses that make all the charm of Marrakech. Taking place in an exceptional setting, the Domaine du Retro offers you a journey back in time thanks to its sumptuous collection of vintage cars, including the famous Rolls Royce Phantom, Cadillac Eldorado, Jaguar XK or Mercedes 300 SL. About thirty rare vehicles adorn this exceptional place dedicated to your events.
And more than an open-air museum, the Domaine du Rétro offers you to organize your team-buildings, weddings, garden parties, theme nights, gala dinners, conferences and seminars... Each celebration or event is unique to the Domaine du Rétro thanks to its team of professionals guaranteeing an irreproachable service.",http://www.ledomaineduretro.com/,1-2 hours,8:00 AM - 8:00 PM,Historic Sites • Points of Interest & Landmarks • Historic Walking Areas, ,"Mohammed VI Museum,Nikki Beach,Le Vizir Center,El Arabi Brams soccer,Musee de la Palmeraie,Fiesta Beach,La Palmeraie,Musée Farid Belkahia,Spana,","Le Domaine Du Retro ; AddressDouar Nouaji Sidi Bouothmane Jbilate, Marrakech 40000 Morocco ; The Domaine du Retro is one of those confidential addresses that make all the charm of Marrakech. Taking place in an exceptional setting, the Domaine du Retro offers you a journey back in time thanks to its sumptuous collection of vintage cars, including the famous Rolls Royce Phantom, Cadillac Eldorado, Jaguar XK or Mercedes 300 SL. About thirty rare vehicles adorn this exceptional place dedicated to your events.
And more than an open-air museum, the Domaine du Rétro offers you to organize your team-buildings, weddings, garden parties, theme nights, gala dinners, conferences and seminars... Each celebration or event is unique to the Domaine du Rétro thanks to its team of professionals guaranteeing an irreproachable service. ; Historic Sites • Points of Interest & Landmarks • Historic Walking Areas ;  ",/maps/dir//Le+Domaine+Du+Retro+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdaff3039807767d:0x7943a36733887319?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/09/2c/9e/c3/cafe-guerrab.jpg
Place des 7 Saints,"Place of the 7 Saints ,Bab Doukkala , Marrakech","The Seven Saints of Marrakech are a group of Sufi mystics and clerics revered in Moroccan popular Islam. These seven saints are buried in Marrakech and the visit to their tomb is traditionally carried out as part of a pilgrimage, called in Moroccan Arabic ziara.",,< 1 hour,,Points of Interest & Landmarks,"Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Chez Yassine,Dar Cherifa,Riad Kniza Restaurant,Terrasse de la fontaine,Ksar Es Saoussan,Lotus Privilège Moroccan Restaurant,",", '', ,","Place des 7 Saints ; Place of the 7 Saints ,Bab Doukkala , Marrakech ; The Seven Saints of Marrakech are a group of Sufi mystics and clerics revered in Moroccan popular Islam. These seven saints are buried in Marrakech and the visit to their tomb is traditionally carried out as part of a pilgrimage, called in Moroccan Arabic ziara. ; Points of Interest & Landmarks ; Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Chez Yassine,Dar Cherifa,Riad Kniza Restaurant,Terrasse de la fontaine,Ksar Es Saoussan,Lotus Privilège Moroccan Restaurant,",,https://media-cdn.tripadvisor.com/media/photo-s/16/ba/3e/e7/esterno.jpg
Place de Foucauld,"J2F5+FMR, Avenue El Mouahidine, Marrakech 40000","The gardens around the famous Koutobia mosque have been revitalized, the fountains are working again and people like to sit amidst the well tended greenery. This has inevitably also attracted more tourist hasslers, most visible of them the watermen. Dressed in red ethnic clothing with wide rimmed hats they don't anymore make their living by pouring water for customers from their leather satchels, but will crowd any tourist group and demand dirhams for photographs.",,,,Points of Interest & Landmarks,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Medersa Ben Youssef,","Place de Foucauld ; J2F5+FMR, Avenue El Mouahidine, Marrakech 40000 ; The gardens around the famous Koutobia mosque have been revitalized, the fountains are working again and people like to sit amidst the well tended greenery. This has inevitably also attracted more tourist hasslers, most visible of them the watermen. Dressed in red ethnic clothing with wide rimmed hats they don't anymore make their living by pouring water for customers from their leather satchels, but will crowd any tourist group and demand dirhams for photographs. ; Points of Interest & Landmarks ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,",/maps/dir//Place+de+Foucauld+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee60f5ccef1b:0xa93f2b6651d0bca2?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/04/9c/52/c6/dar-naima.jpg
Musee Mohammed VI pour la civilisation de L'eau au Moroc,"AddressCircuit de la Palmeraie Avenue Abdelkarim El Khattabi, Marrakech 40000 Morocco","The Aman Museum, also called the Marrakech Water Museum or the Mohammed VI Museum for the Civilization of Water, is a museum in Marrakech dedicated to water and hydraulic techniques in traditional Morocco. It is located at the northern entrance to Marrakech, in the Palmeraie sector.",http://www.museemohammed6aman.ma/,1-2 hours,,Points of Interest & Landmarks,", '', ,","Jardin Majorelle,Medina of Marrakesh,Palácio da Bahia,Sahara Riders,The Orientalist Museum of Marrakech,Jemaa el-Fnaa,Boucharouite Museum,Maison de la Photographie,Dar El Bacha - Musee des Confluences,","Musee Mohammed VI pour la civilisation de L'eau au Moroc ; AddressCircuit de la Palmeraie Avenue Abdelkarim El Khattabi, Marrakech 40000 Morocco ; The Aman Museum, also called the Marrakech Water Museum or the Mohammed VI Museum for the Civilization of Water, is a museum in Marrakech dedicated to water and hydraulic techniques in traditional Morocco. It is located at the northern entrance to Marrakech, in the Palmeraie sector. ; Points of Interest & Landmarks ; , '', ,",/maps/dir//Musee+Mohammed+VI+pour+la+civilisation+de+L'eau+au+Maroc+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafedafdd682311:0x37849a70c6ff1cff?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/17/16/ec/97/salle.jpg
Mosquée Sidi-bel-Abbès,"J2Q5+JM7, Marrakesh 40000","The Zaouia of Sidi Bel Abbès is a religious building located in Marrakech in Morocco honoring the memory of the patron saint of the city, Sidi Bel Abbès better known under the name of Abu al-Abbas as-Sabti.",http://www.servicesahara.com/,,12:00 AM - 11:59 PM,Points of Interest & Landmarks,", '', ,","Foundouk el Amri el al Mizane,Ksar of Ait-Ben-Haddou,Jardin Majorelle,Palácio da Bahia,Medina of Marrakesh,Jemaa el-Fnaa,Sahara Riders,The Orientalist Museum of Marrakech,Boucharouite Museum,","Mosquée Sidi-bel-Abbès ; J2Q5+JM7, Marrakesh 40000 ; The Zaouia of Sidi Bel Abbès is a religious building located in Marrakech in Morocco honoring the memory of the patron saint of the city, Sidi Bel Abbès better known under the name of Abu al-Abbas as-Sabti. ; Points of Interest & Landmarks ; , '', ,",/maps/dir//Mosqu%C3%A9e+Sidi-bel-Abb%C3%A8s+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6febb0b9b9:0x14407e8a97574732?sa=X,https://alfassia.com/wp-content/uploads/2019/01/slider_new.jpg
Fontaine Chrob Ou Chouf,"J2P7+577, Street, Marrakesh 40000","The chrob or chouf fountain located near the Ben Youssef mosque in the heart of the medina of Marrakech, was raised under Ahmed el-Mansour. Its crown is executed in wood in the form of a honeycomb, all covered with a sloping roof covered with green tiles.",,< 1 hour,,Points of Interest & Landmarks, , ,"Fontaine Chrob Ou Chouf ; J2P7+577, Street, Marrakesh 40000 ; The chrob or chouf fountain located near the Ben Youssef mosque in the heart of the medina of Marrakech, was raised under Ahmed el-Mansour. Its crown is executed in wood in the form of a honeycomb, all covered with a sloping roof covered with green tiles. ; Points of Interest & Landmarks ;  ",/maps/dir//Fontaine+Chrob+Ou+Chouf+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6ea8b78dc5:0xd19c8ed842f7678b?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/17/13/0b/b3/fadaa-el-bahja.jpg
Berber Cultural Center,"652W+XFM, National Road No. 8, Imintanoute","The Berber Culture Centre, in the foothills of the Atlas Mountains, offers an array of activities from day trips to extended stays e.g. experience a day in the life of a Berber, use as a base for trekking, or come to learn and practice Arabic. Visitors can rely on years of experience in hospitality, event hosting and tours. Your stay at BCC will provide direct support to the local economy, education, local people and land.",https://www.facebook.com/berberculturalcenter/,2-3 hours,,Educational sites,", '', ,","Palácio da Bahia,Medina of Marrakesh,Sahara Riders,Jardin Majorelle,Jemaa el-Fnaa,Miaara Jewish Cemetery,Boucharouite Museum,Musée Tiskiwin,Dar Si Said Museum,","Berber Cultural Center ; 652W+XFM, National Road No. 8, Imintanoute ; The Berber Culture Centre, in the foothills of the Atlas Mountains, offers an array of activities from day trips to extended stays e.g. experience a day in the life of a Berber, use as a base for trekking, or come to learn and practice Arabic. Visitors can rely on years of experience in hospitality, event hosting and tours. Your stay at BCC will provide direct support to the local economy, education, local people and land. ; Educational sites ; , '', ,",,https://media.gettyimages.com/id/1463518515/photo/wide-shot-of-couple-taking-selfie-at-rooftop-restaurant-in-marrakech.jpg?s=170667a&w=gi&k=20&c=wNIOwnSj93y_b9Lr1btrNhv1-OXrv_7Lp1z-CHMiFlE=
Mouassine fountain,"J2H6+X7W, Rue Sidi el Yamani, Marrakesh 40000",The Mouassine fountain is part of the religious complex of Mouassine in Marrakech; where the tradition of building public fountains is old but took on a very monumental character during the Saadian period.,,,,Fountains,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Medersa Ben Youssef,","Mouassine fountain ; J2H6+X7W, Rue Sidi el Yamani, Marrakesh 40000 ; The Mouassine fountain is part of the religious complex of Mouassine in Marrakech; where the tradition of building public fountains is old but took on a very monumental character during the Saadian period. ; Fountains ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,",/maps/dir//Mouassine+fountain+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee683353e23d:0x724b6b1edecc4f4b?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/15/bf/59/77/ensoleillez-vos-soirees.jpg
Village des Potiers,"157 Village Des Potiers , Oulja, Salé 11030","When entering Marrakech by the road from Agadir and Essaouira, on your left you will find the village of potters. This charming complex is a reserve of handicrafts. In these shopping streets, craftsmen make basketry, pottery in tadelakt or stucco, wrought iron furniture, lighting, bejmat tiles, etc. Here you will be in direct contact with the craftsman who will explain his trade to you. The prices are much cheaper than those in the souk.",,,,Points of Interest & Landmarks, , ,"Village des Potiers ; 157 Village Des Potiers , Oulja, Salé 11030 ; When entering Marrakech by the road from Agadir and Essaouira, on your left you will find the village of potters. This charming complex is a reserve of handicrafts. In these shopping streets, craftsmen make basketry, pottery in tadelakt or stucco, wrought iron furniture, lighting, bejmat tiles, etc. Here you will be in direct contact with the craftsman who will explain his trade to you. The prices are much cheaper than those in the souk. ; Points of Interest & Landmarks ;  ",,https://media-cdn.tripadvisor.com/media/photo-s/18/7b/8b/8f/outdoor-live-show-terrace.jpg
Maison Denise Masson,"AddressRue Ibn Khaldoun, Marrakech 40000 Morocco","The Denise Masson Foundation contributes to the operation of a cultural institution located in the heart of the medina of Marrakech, dedicated to artistic exchanges between France and Morocco, and a research center promoting greater understanding between cultures and religions.",http://www.maisondenisemasson.ma/,< 1 hour,,Points of Interest & Landmarks • Civic Centres,"Taj Moroccan Food,Âme et Saveurs,Gastro MK at Maison MK,La Villa Des Orangers - Restaurant,Fine Mama?,Snack Grand Atlas,Café Kif Kif,Jemaa ElFna Restaurant,Kabana,","Dar Moulay Ali, Maison de la France à Marrakech,Koutoubia Mosque,Jemaa el-Fnaa,Parc Lalla Hasna,Palácio da Bahia,Mausoleum of Youssef Ben Tachfine,Musée de la Musique,Musée Yves Saint Laurent Marrakech,Medina of Marrakesh,","Maison Denise Masson ; AddressRue Ibn Khaldoun, Marrakech 40000 Morocco ; The Denise Masson Foundation contributes to the operation of a cultural institution located in the heart of the medina of Marrakech, dedicated to artistic exchanges between France and Morocco, and a research center promoting greater understanding between cultures and religions. ; Points of Interest & Landmarks • Civic Centres ; Taj Moroccan Food,Âme et Saveurs,Gastro MK at Maison MK,La Villa Des Orangers - Restaurant,Fine Mama?,Snack Grand Atlas,Café Kif Kif,Jemaa ElFna Restaurant,Kabana,",/maps/dir//Maison+Denise+Masson+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee66f09a7e69:0x941bc494129870af?sa=X,https://media-cdn.tripadvisor.com/media/photo-s/18/5f/1e/75/roof-top-au-top.jpg
Koubba of Fatima Zohra,"AddressAvenue Mohammed V, 40020, Marrakech 40020 Morocco","The plain-white modest structure that sits near the Koutoubia Mosque is the tomb of Fatima Zohra, daughter of a revered local religious leader. Local legends abound about Fatima Zohra's mystical powers, but the most popular story is that she would turn into a dove every evening and only resume human form at sunrise.",,< 1 hour,,Points of Interest & Landmarks • Cemeteries • Monuments & Statues,", '', ,","Jardin Majorelle,Palácio da Bahia,Medina of Marrakesh,Jemaa el-Fnaa,Ksar of Ait-Ben-Haddou,Sahara Riders,Medersa Ben Youssef,Marrakech Ramparts,The Orientalist Museum of Marrakech,","Koubba of Fatima Zohra ; AddressAvenue Mohammed V, 40020, Marrakech 40020 Morocco ; The plain-white modest structure that sits near the Koutoubia Mosque is the tomb of Fatima Zohra, daughter of a revered local religious leader. Local legends abound about Fatima Zohra's mystical powers, but the most popular story is that she would turn into a dove every evening and only resume human form at sunrise. ; Points of Interest & Landmarks • Cemeteries • Monuments & Statues ; , '', ,",/maps/dir//Koubba+of+Fatima+Zohra+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee5cc14e427b:0x269130404257413d?sa=X,https://c8.alamy.com/comp/T87JWH/morocco-high-atlas-marrakech-imperial-city-medina-listed-as-world-heritage-by-unesco-kasbah-district-cafe-clock-224-derb-chtouka-T87JWH.jpg
Les Secrets Hammam&spa,"AddressRue de la Liberte Gueliz, Marrakech 40000 Morocco","Les Secrets Hammam & Spa is a place of relaxation and rest dedicated to the well-being of the body. It offers a hammam-scrub, followed by numerous treatments and massages, to make your skin look new.
A sensual journey to the heart of the traditional rituals of the Orient.
It is a steam bath with a scrub, body massage, traditional plastic and energy with argan oil and ghassoul. Discover the list of boutique accessories, jewelry, clothing and toiletries. An amazing place!",+2125244-34848,,,Points of Interest & Landmarks,"Patisserie Gato,Le Tire Bouchon Marrakech,Baromètre Marrakech,La Palette Restaurant Marrakech,Azar,Chez Mado,Entrepotes,Le 68 Bar A Vin,Libzar,","MACMA Musee d'Art et de Culture de Marrakech,Jardin Majorelle,Wall Street Gallery,Palácio da Bahia,Marrakech Train Station,Jardin Jnane El Harti,Medina of Marrakesh,Jemaa el-Fnaa,Galerie Le Coeur Blanc,","Les Secrets Hammam&spa ; AddressRue de la Liberte Gueliz, Marrakech 40000 Morocco ; Les Secrets Hammam & Spa is a place of relaxation and rest dedicated to the well-being of the body. It offers a hammam-scrub, followed by numerous treatments and massages, to make your skin look new.
A sensual journey to the heart of the traditional rituals of the Orient.
It is a steam bath with a scrub, body massage, traditional plastic and energy with argan oil and ghassoul. Discover the list of boutique accessories, jewelry, clothing and toiletries. An amazing place! ; Points of Interest & Landmarks ; Patisserie Gato,Le Tire Bouchon Marrakech,Baromètre Marrakech,La Palette Restaurant Marrakech,Azar,Chez Mado,Entrepotes,Le 68 Bar A Vin,Libzar,",,https://www.darmarjana.com/dm-layout/uploads/2016/10/darmarjana_461restaurant-web.jpg
Viewpoint on the N9 over the High Atlas,"Marrakech 40000 , Morocco","Tizi n'Tichka (Col du Tichka) is a high mountain pass at an elevation of 2.212m (7,257ft) above the sea level, located on the boundary between Marrakesh-Safi and Drâa-Tafilalet regions in central Morocco in Northern Africa. Tizi n’Tichka means “difficult mountain pasture” in Berber and you’ll see why.
Set high in the High Atlas mountains, the road to the summit is totally paved. It’s called Route Nationale 9 (formerly Route P-31). The pass is 54km (33 miles) long, running north-south from Zerkten to Agouim. The road was built as a military highway in 1936 by the French. Today, Route Nationale 9 links the south-east of Marrakesh to the city of Ouarzazate",,< 1 hour,12:00 AM - 11:59 PM,Lookouts,"Cafe-Restaurant Assanfou,Auberge Agdal,", ,"Viewpoint on the N9 over the High Atlas ; Marrakech 40000 , Morocco ; Tizi n'Tichka (Col du Tichka) is a high mountain pass at an elevation of 2.212m (7,257ft) above the sea level, located on the boundary between Marrakesh-Safi and Drâa-Tafilalet regions in central Morocco in Northern Africa. Tizi n’Tichka means “difficult mountain pasture” in Berber and you’ll see why.
Set high in the High Atlas mountains, the road to the summit is totally paved. It’s called Route Nationale 9 (formerly Route P-31). The pass is 54km (33 miles) long, running north-south from Zerkten to Agouim. The road was built as a military highway in 1936 by the French. Today, Route Nationale 9 links the south-east of Marrakesh to the city of Ouarzazate ; Lookouts ; Cafe-Restaurant Assanfou,Auberge Agdal,",,https://media-cdn.tripadvisor.com/media/photo-s/1a/18/40/d6/bakchich-cafe.jpg
