,Names,ad_Phone,ad_WebSite,ad_about,ad_adress,ad_cuisine,ad_features,ad_meals,ad_prices,guru_time,near_att,near_hot,near_res,special_diets,ad_Phones,info,tfidf,id,gps
493,El Kennaria Restaurant,+212 5243-90897,http://www.facebook.com/terrasse.elkennaria/,"The roof El Kennaria is a beautiful place in the heart of place Jamea el Fna, where you can have a cafe, or food, Our chef prepares the best taste of food, you can join us anytime you want & experience our delicious food, in order to that our calm romantic place.","10 Rue El Kennaria Derb Dabachi, Marrakech 40000 Morocco","Moroccan, Bar","Reservations, Seating, Free Wifi, Table Service","Breakfast, Lunch, Dinner, Drinks",MAD 20 - MAD 80,,"Dunes Expedition,Musee Yves Saint Laurent Marrakech,Mains de Fees,Aromatimri,","Riad Chic & Cheap,Riad Milouda,Hotel Mimosa,Riad Azra Marrakech,","Votre Table,Cuisine De Terroir,La Cantine Des Gazelles,Cafe Babouche,", ,+212 5243-90897,"El Kennaria Restaurant ; 10 Rue El Kennaria Derb Dabachi, Marrakech 40000 Morocco ;  ; The roof El Kennaria is a beautiful place in the heart of place Jamea el Fna, where you can have a cafe, or food, Our chef prepares the best taste of food, you can join us anytime you want & experience our delicious food, in order to that our calm romantic place. ; Moroccan, Bar ; Breakfast, Lunch, Dinner, Drinks ; Reservations, Seating, Free Wifi, Table Service ;   ; Dunes Expedition,Musee Yves Saint Laurent Marrakech,Mains de Fees,Aromatimri, ; Riad Chic & Cheap,Riad Milouda,Hotel Mimosa,Riad Azra Marrakech,","el,kennaria,restaurant,rue,el,kennaria,derb,dabachi,marrakech,morocco,moroccan,bar,breakfast,lunch,dinner,drink,reservation,seat,free,wifi,table,service,dune,expedition,musee,yves,saint,laurent,marrakech,mains,de,fee,aromatimri,riad,chic,cheap,riad,milouda,hotel,mimosa,riad,azra,marrakech",493,/maps/dir//El+Kennaria+Restaurant+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4178da10db:0x315b8dad1a19ae6a?sa=X
494,Shtatto Marrakech,+212 5243-75538,http://www.facebook.com/Shtatto-Marrakech-371301526667007/, ,"81 Derb Nkhal, Rahba Lakdima, Marrakech 40000 Morocco","Moroccan, Cafe, Healthy","Reservations, Outdoor Seating, Seating, Free Wifi, Table Service, Accepts Credit Cards", ,MAD 106 - MAD 211,,"Boucharouite Museum,Dunes Expedition,Musee de la Musique,Musee Yves Saint Laurent Marrakech,","Riad Ecila,Hotel Riad Rahba,Riad Joya,Riad Zarka,","L'Mida Marrakech,Kafe Merstan,Chez Brahim,","Breakfast, Lunch, Dinner, Drinks",+212 5243-75538,"Shtatto Marrakech ; 81 Derb Nkhal, Rahba Lakdima, Marrakech 40000 Morocco ;  ;   ; Moroccan, Cafe, Healthy ;   ; Reservations, Outdoor Seating, Seating, Free Wifi, Table Service, Accepts Credit Cards ; Breakfast, Lunch, Dinner, Drinks ; Boucharouite Museum,Dunes Expedition,Musee de la Musique,Musee Yves Saint Laurent Marrakech, ; Riad Ecila,Hotel Riad Rahba,Riad Joya,Riad Zarka,","shtatto,marrakech,derb,nkhal,rahba,lakdima,marrakech,morocco,moroccan,cafe,healthy,reservation,outdoor,seating,seating,free,wifi,table,service,accept,credit,card,breakfast,lunch,dinner,drink,boucharouite,museum,dune,expedition,musee,de,la,musique,musee,yves,saint,laurent,marrakech,riad,ecila,hotel,riad,rahba,riad,joya,riad,zarka",494,/maps/dir//Shtatto+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee69ff8c925d:0xd146608f5cd420e6?sa=X
495,Restaurant Red House,05244-37040,http://theredhousemarrakech.com/restaurant-red-house/index.html,"Recommeded by Gault Millau, the restaurant of THE RED HOUSE invite you to enjoy some truly fine dishes, the very best Moroccan cuisine.You can also enjoy the traditional and authenticity decor. Every night, you can appreciate the show of belly dancer and life musicians. The restaurant is open from 11:00 to 15:00 and from 19:00 to 23:30.","Angle Av. El Yarmouk Et Abdelaziz El Malzouzi, Marrakech 40000","Moroccan, Mediterranean, European, International",Meals on site, ,MAD 281 - MAD 412,,"Pool Lounge - Sofitel Marrakech,La Grillardiere,Custom Morocco Tours,Uncovered Morocco,","Royal Mirage Deluxe Marrakech,JADALI HOTEL & SPA,Hotel Akabar,Imperial Borj Hotel,","Comptoir Darna Marrakech,The Lotus Club,La Table, Royal Mansour Marrakech,","Breakfast, Lunch, Dinner, Late Night, Drinks",05244-37040,"Restaurant Red House ; Angle Av. El Yarmouk Et Abdelaziz El Malzouzi, Marrakech 40000 ;  ; Recommeded by Gault Millau, the restaurant of THE RED HOUSE invite you to enjoy some truly fine dishes, the very best Moroccan cuisine.You can also enjoy the traditional and authenticity decor. Every night, you can appreciate the show of belly dancer and life musicians. The restaurant is open from 11:00 to 15:00 and from 19:00 to 23:30. ; Moroccan, Mediterranean, European, International ;   ; Meals on site ; Breakfast, Lunch, Dinner, Late Night, Drinks ; Pool Lounge - Sofitel Marrakech,La Grillardiere,Custom Morocco Tours,Uncovered Morocco, ; Royal Mirage Deluxe Marrakech,JADALI HOTEL & SPA,Hotel Akabar,Imperial Borj Hotel,","restaurant,red,house,angle,av,el,yarmouk,et,abdelaziz,el,malzouzi,marrakech,moroccan,mediterranean,european,international,meal,site,breakfast,lunch,dinner,late,night,drink,pool,lounge,sofitel,marrakech,la,grillardiere,custom,morocco,tour,uncovered,morocco,royal,mirage,deluxe,marrakech,jadali,hotel,spa,hotel,akabar,imperial,borj,hotel",495,/maps/dir//Restaurant+Red+House+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee5f752643ad:0x809b33a29b10046c?sa=X
496,Ame et Saveurs,+212 666-649966,https://www.facebook.com/ameetsaveurs/,"We are pleased to inform our friendly customers that the restaurant will resume its usual activity from October 15, 2020. Also, we inform you that we have strengthened our hygiene conditions and that we have taken all the health security and distancing measures that are necessary at this time of pandemic due to Covid 19. In the pleasure of receiving you to spend pleasant moments The Ame et Saveurs team.","38, Prince Moulay Rachid -Médina, Marrakech 40000 Morocco","Mediterranean, Barbecue, Italian, Moroccan","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Digital Payments","Lunch, Dinner, Late Night, Drinks",MAD 53 - MAD 264,,"Itinerance Plus,Marrakesh Quad Biking,Hammam Lalla,Marrakesh Travel Services,","Riad Mabrouka Marrakech,Hotel Agnou,Riad Hamdane & SPA,Riad Hotel Essaouira,","Fine Mama?,Restaurant El Bahja,La Patisserie des Princes,", ,+212 666-649966,"Ame et Saveurs ; 38, Prince Moulay Rachid -Médina, Marrakech 40000 Morocco ;  ; We are pleased to inform our friendly customers that the restaurant will resume its usual activity from October 15, 2020. Also, we inform you that we have strengthened our hygiene conditions and that we have taken all the health security and distancing measures that are necessary at this time of pandemic due to Covid 19. In the pleasure of receiving you to spend pleasant moments The Ame et Saveurs team. ; Mediterranean, Barbecue, Italian, Moroccan ; Lunch, Dinner, Late Night, Drinks ; Delivery, Takeout, Reservations, Outdoor Seating, Seating, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Digital Payments ;   ; Itinerance Plus,Marrakesh Quad Biking,Hammam Lalla,Marrakesh Travel Services, ; Riad Mabrouka Marrakech,Hotel Agnou,Riad Hamdane & SPA,Riad Hotel Essaouira,","ame,et,saveurs,prince,moulay,rachid,marrakech,morocco,mediterranean,barbecue,italian,moroccan,lunch,dinner,late,night,drink,delivery,takeout,reservation,outdoor,seating,seating,accept,american,express,accept,mastercard,accept,visa,free,wifi,accept,credit,card,digital,payment,itinerance,plus,marrakesh,quad,biking,hammam,lalla,marrakesh,travel,service,riad,mabrouka,marrakech,hotel,agnou,riad,hamdane,spa,riad,hotel,essaouira",496,
497,Le Makassar,+212 5243-91926,http://www.villamakassar.com/,Le Makassar invite you to discover the finest moroccan and mediterranean flavors and dishes in a unique art déco place.,"20, Derb Chtouka Kasbah, Villa Makassar, Marrakech 40000 Morocco","French, Moroccan, Mediterranean, European","Reservations, Outdoor Seating, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service","Lunch, Dinner, Brunch, Drinks",MAD 211 - MAD 422,,"Travels Morocco,Kasbah Mosque,Cafe Clock Cooking School,Les Borjs de la Kasbah SPA,","Villa Makassar,Riad Daria Suites & Spa,Les Jardins de la Medina,Riad Loudaya,","Zeitoun Cafe Kasbah,La Table de La Kasbah,Le Medina Privilege Riad & Spa Restaurant,", ,+212 5243-91926,"Le Makassar ; 20, Derb Chtouka Kasbah, Villa Makassar, Marrakech 40000 Morocco ;  ; Le Makassar invite you to discover the finest moroccan and mediterranean flavors and dishes in a unique art déco place. ; French, Moroccan, Mediterranean, European ; Lunch, Dinner, Brunch, Drinks ; Reservations, Outdoor Seating, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Table Service ;   ; Travels Morocco,Kasbah Mosque,Cafe Clock Cooking School,Les Borjs de la Kasbah SPA, ; Villa Makassar,Riad Daria Suites & Spa,Les Jardins de la Medina,Riad Loudaya,","le,makassar,derb,chtouka,kasbah,villa,makassar,marrakech,morocco,french,moroccan,mediterranean,european,lunch,dinner,brunch,drink,reservation,outdoor,seating,private,dining,seating,wheelchair,accessible,serve,alcohol,full,bar,accept,american,express,accept,mastercard,accept,visa,free,wifi,table,service,travel,morocco,kasbah,mosque,cafe,clock,cook,school,les,borjs,de,la,kasbah,spa,villa,makassar,riad,daria,suite,spa,les,jardins,de,la,medina,riad,loudaya",497,/maps/dir//Le+Makassar+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4ea54eeb09:0xd0445f8f2da7a9d9?sa=X
498,Gastro MK at Maison MK,+212 695-707200,http://maisonmk.com,A five course modern tasting menu with subtle Moroccan influences.,"14 Derb Lafkih Sbaai Quartier Luksour, Marrakech 40000 Morocco","Moroccan, European, Contemporary","Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service","Dinner, Late Night",MAD 581 - MAD 581,,"Rue du Mouassine Morocco Travel Guide,Morocco Safaris,Spa MK,Exploring My Morocco,","Riad Dar Attajmil,Riad Alamir,Riad La Croix Berbere De Luxe,Palais Sebban,","Bazaar Cafe,Chez Yassine,Ksar Es Saoussan,", ,+212 695-707200,"Gastro MK at Maison MK ; 14 Derb Lafkih Sbaai Quartier Luksour, Marrakech 40000 Morocco ;  ; A five course modern tasting menu with subtle Moroccan influences. ; Moroccan, European, Contemporary ; Dinner, Late Night ; Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service ;   ; Rue du Mouassine Morocco Travel Guide,Morocco Safaris,Spa MK,Exploring My Morocco, ; Riad Dar Attajmil,Riad Alamir,Riad La Croix Berbere De Luxe,Palais Sebban,","gastro,mk,maison,mk,derb,lafkih,sbaai,quartier,luksour,marrakech,morocco,moroccan,european,contemporary,dinner,late,night,reservation,outdoor,seating,private,dining,seating,serve,alcohol,full,bar,accept,american,express,accept,mastercard,accept,visa,free,wifi,accept,credit,card,table,service,rue,du,mouassine,morocco,travel,guide,morocco,safari,spa,mk,explore,morocco,riad,dar,attajmil,riad,alamir,riad,la,croix,berbere,de,luxe,palais,sebban",498,/maps/dir//Gastro+MK+at+Maison+MK+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee5d4a6ed83d:0xdf913a9c7753f519?sa=X
499,My Taher,+212 661-142012,, ,"9 Rue des Banques, Marrakech 40000 Morocco","Moroccan, Mediterranean, Middle Eastern,Vegetarian Friendly, Vegan Options","Reservations, Seating, Table Service, Delivery, Television, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Live Music, Dog Friendly, Non-smoking restaurants","Lunch, Dinner", ,,"Dunes Expedition,Musee Yves Saint Laurent Marrakech,Zine Khmissa Spa,L'argan D'hier,","Hotel Mimosa,Riad Wazani Square & Spa,Dar Fakir,Riad Mirage,","Cuisine De Terroir,Cafe Babouche,El Kennaria Restaurant,", ,+212 661-142012,"My Taher ; 9 Rue des Banques, Marrakech 40000 Morocco ;  ;   ; Moroccan, Mediterranean, Middle Eastern,Vegetarian Friendly, Vegan Options ; Lunch, Dinner ; Reservations, Seating, Table Service, Delivery, Television, Wheelchair Accessible, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Live Music, Dog Friendly, Non-smoking restaurants ;   ; Dunes Expedition,Musee Yves Saint Laurent Marrakech,Zine Khmissa Spa,L'argan D'hier, ; Hotel Mimosa,Riad Wazani Square & Spa,Dar Fakir,Riad Mirage,","taher,rue,de,banques,marrakech,morocco,moroccan,mediterranean,middle,eastern,vegetarian,friendly,vegan,option,lunch,dinner,reservation,seating,table,service,delivery,television,wheelchair,accessible,accepts,american,express,accept,mastercard,accept,visa,free,wifi,accept,credit,card,live,music,dog,friendly,restaurant,dune,expedition,musee,yves,saint,laurent,marrakech,zine,khmissa,spa,hotel,mimosa,riad,wazani,square,spa,dar,fakir,riad,mirage",499,/maps/dir//My+Taher+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef1ad0447685:0x339d68d51491f55a?sa=X
500,Libzar,+212 5244-20402,, ,"28, Rue Moulay Ali Gueliz, Marrakech 40000 Morocco",mixed, , , ,,"Morocco Discovery Trip,Morocco Vacation Tour,Olympia Tours,Libzar Cooking Class,","Tachfine Hotel,Hotel Gomassine,Yaad City Hotel,Diwane Hotel & Spa Marrakech,","Barometre Marrakech,La Palette Restaurant Marrakech,Chez Mado,Amal,", ,+212 5244-20402,"Libzar ; 28, Rue Moulay Ali Gueliz, Marrakech 40000 Morocco ;  ;   ; mixed ;   ;   ;   ; Morocco Discovery Trip,Morocco Vacation Tour,Olympia Tours,Libzar Cooking Class, ; Tachfine Hotel,Hotel Gomassine,Yaad City Hotel,Diwane Hotel & Spa Marrakech,","libzar,rue,moulay,ali,gueliz,marrakech,morocco,mixed,morocco,discovery,trip,morocco,vacation,tour,olympia,tour,libzar,cooking,class,tachfine,hotel,hotel,gomassine,yaad,city,hotel,diwane,hotel,spa,marrakech",500,
501,Restaurant Le LOFT,+212 5244-34216,http://www.restaurant-loft.com/,"A restaurant in New York atmosphere.Wooden floors, brick wall and wood everywhere gives the place a certain warmth, which is reminiscent of the small restaurant in New York.The clock, paintings recalling the era of Pop Art, ropes and huge fan-shaped blades, plunges us into the atmosphere of the restaurants of Soho, at a time when artists found themselves around the table, leaving Art galleries nearby.A friendly table, a nice background music to the rhythm of the 80s, allowing you to talk without shouting.In the kitchen, there is a contemporary concept with giant salads for quick meals and a menu featuring appetizers, meals and desserts for an average price of 180 dhs per person.The Loft offers daily suggestions on the board, depending on the market.Map Loft is simple, and quality productsYou will also find a variety of French wine, it will be possible to control the glass.The Loft also has a mini terrace equipped with a sunroof, and if you want to install, it is best to book as places are limited.The Loft is a trendy restaurant, where philosophy is clocked by customer. Whether you are in a hurry or the movements of the clock leaves you indifferent, Loft let you judge.For drinks, lunch or dinner, the Loft welcomes you every day from noon to midnight.","18 Rue de la Liberté Gueliz, Marrakech 40000 Morocco","French, European, Healthy","Reservations, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service","Lunch, Dinner, Late Night",MAD 42 - MAD 264,,"Agafay Desert Camel Ride,Creazen Spirit,Iskam Tour,Morocco Travel Experience,","Nassim Hotel,Radisson Blu Hotel, Marrakech Carre Eden,Hotel Gomassine,Bab Hotel,","Patisserie Amandine Marrakech,Mamma Mia,MY Kechmara,", ,+212 5244-34216,"Restaurant Le LOFT ; 18 Rue de la Liberté Gueliz, Marrakech 40000 Morocco ;  ; A restaurant in New York atmosphere.Wooden floors, brick wall and wood everywhere gives the place a certain warmth, which is reminiscent of the small restaurant in New York.The clock, paintings recalling the era of Pop Art, ropes and huge fan-shaped blades, plunges us into the atmosphere of the restaurants of Soho, at a time when artists found themselves around the table, leaving Art galleries nearby.A friendly table, a nice background music to the rhythm of the 80s, allowing you to talk without shouting.In the kitchen, there is a contemporary concept with giant salads for quick meals and a menu featuring appetizers, meals and desserts for an average price of 180 dhs per person.The Loft offers daily suggestions on the board, depending on the market.Map Loft is simple, and quality productsYou will also find a variety of French wine, it will be possible to control the glass.The Loft also has a mini terrace equipped with a sunroof, and if you want to install, it is best to book as places are limited.The Loft is a trendy restaurant, where philosophy is clocked by customer. Whether you are in a hurry or the movements of the clock leaves you indifferent, Loft let you judge.For drinks, lunch or dinner, the Loft welcomes you every day from noon to midnight. ; French, European, Healthy ; Lunch, Dinner, Late Night ; Reservations, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service ;   ; Agafay Desert Camel Ride,Creazen Spirit,Iskam Tour,Morocco Travel Experience, ; Nassim Hotel,Radisson Blu Hotel, Marrakech Carre Eden,Hotel Gomassine,Bab Hotel,","restaurant,le,loft,rue,de,la,liberté,gueliz,marrakech,morocco,french,european,healthy,lunch,dinner,late,night,reservation,seating,serve,alcohol,full,bar,free,wifi,accept,credit,card,table,service,agafay,desert,camel,ride,creazen,spirit,iskam,tour,morocco,travel,experience,nassim,hotel,radisson,blu,hotel,marrakech,carre,eden,hotel,gomassine,bab,hotel",501,/maps/dir//Restaurant+Le+LOFT+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8e22b28f8f:0xb4fd98f502f992d8?sa=X
502,Le 68 Bar A Vin,+212 5244-49742,http://restaurant-marrakech-baravin.business.site/,"The 68 is a small restaurant located in the heart of the new part of the City (Gueliz). We are happy to proposes you a large choice of wine (glass or bottle) and a menu especially based on french kitchen with some Moroccan and European dishes. We can suggest you our large plate or board of charcuterie and bord of cheese, Raclette, tartiflette, tartines, oyster, Serrano plate, boiled eggs, paté, boeuf bourguignon, coq au vin, entrecôte, fried chicken, salads and a lot of other specialities that you can eat with our choice of wine (red, grey, rosé and white). Price starting at 40 dhs by Glass and 190dhs for a bootle. We propose you a wide range of bottle that will change every month to let you travel in the wine World (France, Italy, Spain, Portugal, Chile, USA, Argentina, Australia, South Africa, Morocco, ...) We would be very please to welcome you soon for a great evening Benoit and his Team.","68, Rue de la Liberte Derriere Carre Eden Gueliz - Voiturier Sur Place, Marrakech 40000 Morocco","French, Bar, Healthy, Wine Bar","Takeout, Reservations, Seating, Serves Alcohol, Wine and Beer, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service","Dinner, Drinks",MAD 53 - MAD 317,,"Olympia Tours,Les Secrets Hammam&spa,Magnificent Morocco - Day Tours,Atika,","Hotel Le Caspien,Les Trois Palmiers,Villa El Gada,Moroccan House Hotel,","Le Tire Bouchon Marrakech,Catanzaro,Chez Eduardo,", ,+212 5244-49742,"Le 68 Bar A Vin ; 68, Rue de la Liberte Derriere Carre Eden Gueliz - Voiturier Sur Place, Marrakech 40000 Morocco ;  ; The 68 is a small restaurant located in the heart of the new part of the City (Gueliz). We are happy to proposes you a large choice of wine (glass or bottle) and a menu especially based on french kitchen with some Moroccan and European dishes. We can suggest you our large plate or board of charcuterie and bord of cheese, Raclette, tartiflette, tartines, oyster, Serrano plate, boiled eggs, paté, boeuf bourguignon, coq au vin, entrecôte, fried chicken, salads and a lot of other specialities that you can eat with our choice of wine (red, grey, rosé and white). Price starting at 40 dhs by Glass and 190dhs for a bootle. We propose you a wide range of bottle that will change every month to let you travel in the wine World (France, Italy, Spain, Portugal, Chile, USA, Argentina, Australia, South Africa, Morocco, ...) We would be very please to welcome you soon for a great evening Benoit and his Team. ; French, Bar, Healthy, Wine Bar ; Dinner, Drinks ; Takeout, Reservations, Seating, Serves Alcohol, Wine and Beer, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service ;   ; Olympia Tours,Les Secrets Hammam&spa,Magnificent Morocco - Day Tours,Atika, ; Hotel Le Caspien,Les Trois Palmiers,Villa El Gada,Moroccan House Hotel,","le,bar,vin,rue,de,la,liberte,derriere,carre,eden,gueliz,voiturier,sur,place,marrakech,morocco,french,bar,healthy,wine,bar,dinner,drink,takeout,reservation,seating,serve,alcohol,wine,beer,accept,visa,free,wifi,accept,credit,card,table,service,olympia,tour,le,secret,hammam,spa,magnificent,morocco,day,tour,atika,hotel,le,caspien,les,trois,palmiers,villa,el,gada,moroccan,house,hotel",502,/maps/dir//Le+68+Bar+A+Vin+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8e3d42867f:0xda3413138c693d6e?sa=X
503,Kafe Merstan,+212 5243-80045,http://kafemerstan.ma/,"Terrasse - Moroccan restaurant Located in the center of the medina, one minute from the Koranic school Medersa Ben Youssef and the Marrakech museum. Restaurant 10 minutes from Jemaa El Fnaa square, the kafé merstan offers 100% Moroccan cuisine to savor the various menus on the terrace in a pleasant setting inspired by our Moroccan traditions","2 Rue Souk Chaaria Kast Benahid, Marrakech 40000 Morocco","African, Moroccan, Mediterranean, Middle Eastern,Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Reservations, Outdoor Seating, Seating, Highchairs Available, Free Wifi, Accepts Credit Cards, Table Service","Lunch, Dinner, Drinks", ,,"The Orientalist Museum of Marrakech,Maison de la Photographie,Rahba Kedima Square,Musee de Marrakech - Fondation Omar Benjelloun,","Riad Redous,Riad Camilia, the Riad and More,Dar Assiya Le Grand,Riad Dar Eliane,","L'Mida Marrakech,Le Trou au Mur,Shtatto Marrakech,", ,+212 5243-80045,"Kafe Merstan ; 2 Rue Souk Chaaria Kast Benahid, Marrakech 40000 Morocco ;  ; Terrasse - Moroccan restaurant Located in the center of the medina, one minute from the Koranic school Medersa Ben Youssef and the Marrakech museum. Restaurant 10 minutes from Jemaa El Fnaa square, the kafé merstan offers 100% Moroccan cuisine to savor the various menus on the terrace in a pleasant setting inspired by our Moroccan traditions ; African, Moroccan, Mediterranean, Middle Eastern,Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options ; Lunch, Dinner, Drinks ; Reservations, Outdoor Seating, Seating, Highchairs Available, Free Wifi, Accepts Credit Cards, Table Service ;   ; The Orientalist Museum of Marrakech,Maison de la Photographie,Rahba Kedima Square,Musee de Marrakech - Fondation Omar Benjelloun, ; Riad Redous,Riad Camilia, the Riad and More,Dar Assiya Le Grand,Riad Dar Eliane,","kafe,merstan,rue,souk,chaaria,kast,benahid,marrakech,morocco,african,moroccan,mediterranean,middle,eastern,vegetarian,friendly,vegan,option,halal,gluten,free,option,lunch,dinner,drink,reservation,outdoor,seating,seating,highchair,available,free,wifi,accept,credit,card,table,service,orientalist,museum,marrakech,maison,de,la,photographie,rahba,kedima,square,musee,de,marrakech,fondation,omar,benjelloun,riad,redous,riad,camilia,riad,dar,assiya,le,grand,riad,dar,eliane",503,/maps/dir//Kafe+Merstan+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee698a0f6fd9:0xd34e478e0fc68aac?sa=X
504,Limoni Cafe and Restaurant,+212 661-344372,http://www.essaoussane.com, ,"Rue des Ksour 3 Derb El Messaoudyenne 3derb El messaouienne ksour, Marrakech 40000 Morocco","African, Moroccan, Middle Eastern,Vegetarian Friendly, Halal","Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service","Lunch, Dinner, Late Night", ,,"Rue du Mouassine Morocco Travel Guide,Morocco Safaris,Riad Elisa Spa,Funky Cool Medina,","Dar Si Aissa Suites & Spa,Riad Dar Attajmil,Riad La Croix Berbere De Luxe,Riad Abaka by ghali,","Bazaar Cafe,Dar Cherifa,Gastro MK at Maison MK,Chez Yassine,", ,+212 661-344372,"Limoni Cafe and Restaurant ; Rue des Ksour 3 Derb El Messaoudyenne 3derb El messaouienne ksour, Marrakech 40000 Morocco ;  ;   ; African, Moroccan, Middle Eastern,Vegetarian Friendly, Halal ; Lunch, Dinner, Late Night ; Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service ;   ; Rue du Mouassine Morocco Travel Guide,Morocco Safaris,Riad Elisa Spa,Funky Cool Medina, ; Dar Si Aissa Suites & Spa,Riad Dar Attajmil,Riad La Croix Berbere De Luxe,Riad Abaka by ghali,","limoni,cafe,restaurant,rue,des,ksour,derb,el,messaoudyenne,el,messaouienne,ksour,marrakech,morocco,african,moroccan,middle,eastern,vegetarian,friendly,halal,lunch,dinner,late,night,reservation,outdoor,seating,private,dining,seating,serve,alcohol,free,wifi,accept,credit,card,table,service,rue,du,mouassine,morocco,travel,guide,morocco,safari,riad,elisa,spa,funky,cool,medina,dar,si,aissa,suit,spa,riad,dar,attajmil,riad,la,croix,berbere,de,luxe,riad,abaka,ghali",504,/maps/dir//Limoni+Cafe+and+Restaurant+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6ed9230da9:0xe51675f1aab68877?sa=X
505,Ksar Es Saoussan,+212 5244-48589,http://www.facebook.com/kechburger, ,"39 Rue Mohamed El Bakkal Gueliz, Marrakech 40000 Morocco","American, Fast Food","Takeout, Outdoor Seating, Street Parking, Free Wifi, Seating, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service","Dinner, Lunch, Late Night, Drinks",MAD 32 - MAD 53,,"Iriki Experience Travel,AA Quad/ Dromadaire Palmeraie,Premium Transfers & Tours - Navette4You,Take Your Guide,","Residence Ezzahia,Hotel Tafoukt,Imperial Plaza & Spa,Hotel Amine,","Saladbox,Bor'kan Marrakech,Restaurant Bouchahin,", ,+212 5244-48589,"Ksar Es Saoussan ; 39 Rue Mohamed El Bakkal Gueliz, Marrakech 40000 Morocco ;  ;   ; American, Fast Food ; Dinner, Lunch, Late Night, Drinks ; Takeout, Outdoor Seating, Street Parking, Free Wifi, Seating, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service ;   ; Iriki Experience Travel,AA Quad/ Dromadaire Palmeraie,Premium Transfers & Tours - Navette4You,Take Your Guide, ; Residence Ezzahia,Hotel Tafoukt,Imperial Plaza & Spa,Hotel Amine,","ksar,es,saoussan,rue,mohamed,el,bakkal,gueliz,marrakech,morocco,american,fast,food,dinner,lunch,late,night,drink,takeout,outdoor,seating,street,parking,free,wifi,seating,wheelchair,accessible,accept,mastercard,accept,visa,accept,credit,card,table,service,iriki,experience,travel,aa,dromadaire,palmeraie,premium,transfer,tour,take,guide,residence,ezzahia,hotel,tafoukt,imperial,plaza,spa,hotel,amine",505,/maps/dir//Ksar+Es+Saoussan+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee42b19333f7:0x4b25c7cb0570650a?sa=X
