,Names,adress,description,WebSite,Suggested duration,open during,category,near_res,near_att,info,tfidf,id,gps
27,Ben Youssef Mosque,Marrakech 40000,"The Ben Youssef Mosque is a mosque in the Medina of Marrakech, Morocco, named after the Almoravid emir Ali ben Youssef. It is one of the oldest mosques in Marrakech.",,,,Historic Sites • Religious Sites,", '', ,","Bab el Marsa,Erg Chebbi Dunes,Hassan II Mosque,Quartier Habous,Musée Abderrahman Slaoui,Notre Dame de Lourdes,Crazy Park,Mahkama du Pacha,New Medina of Casablanca,","Ben Youssef Mosque ; Marrakech 40000 ; The Ben Youssef Mosque is a mosque in the Medina of Marrakech, Morocco, named after the Almoravid emir Ali ben Youssef. It is one of the oldest mosques in Marrakech. ; Historic Sites • Religious Sites ; , '', ,","ben,youssef,mosque,marrakech,ben,youssef,mosque,mosque,medina,marrakech,morocco,name,almoravid,emir,ali,ben,youssef,one,old,mosque,marrakech,historic,site,religious,site",27,/maps/dir//Ben+Youssef+Mosque+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee69803640af:0xb8f6cbaeb295983b?sa=X
28,Le Domaine Du Retro,"AddressDouar Nouaji Sidi Bouothmane Jbilate, Marrakech 40000 Morocco","The Domaine du Retro is one of those confidential addresses that make all the charm of Marrakech. Taking place in an exceptional setting, the Domaine du Retro offers you a journey back in time thanks to its sumptuous collection of vintage cars, including the famous Rolls Royce Phantom, Cadillac Eldorado, Jaguar XK or Mercedes 300 SL. About thirty rare vehicles adorn this exceptional place dedicated to your events.
And more than an open-air museum, the Domaine du Rétro offers you to organize your team-buildings, weddings, garden parties, theme nights, gala dinners, conferences and seminars... Each celebration or event is unique to the Domaine du Rétro thanks to its team of professionals guaranteeing an irreproachable service.",http://www.ledomaineduretro.com/,1-2 hours,8:00 AM - 8:00 PM,Historic Sites • Points of Interest & Landmarks • Historic Walking Areas, ,"Mohammed VI Museum,Nikki Beach,Le Vizir Center,El Arabi Brams soccer,Musee de la Palmeraie,Fiesta Beach,La Palmeraie,Musée Farid Belkahia,Spana,","Le Domaine Du Retro ; AddressDouar Nouaji Sidi Bouothmane Jbilate, Marrakech 40000 Morocco ; The Domaine du Retro is one of those confidential addresses that make all the charm of Marrakech. Taking place in an exceptional setting, the Domaine du Retro offers you a journey back in time thanks to its sumptuous collection of vintage cars, including the famous Rolls Royce Phantom, Cadillac Eldorado, Jaguar XK or Mercedes 300 SL. About thirty rare vehicles adorn this exceptional place dedicated to your events.
And more than an open-air museum, the Domaine du Rétro offers you to organize your team-buildings, weddings, garden parties, theme nights, gala dinners, conferences and seminars... Each celebration or event is unique to the Domaine du Rétro thanks to its team of professionals guaranteeing an irreproachable service. ; Historic Sites • Points of Interest & Landmarks • Historic Walking Areas ;  ","le,domaine,du,retro,addressdouar,nouaji,sidi,bouothmane,jbilate,marrakech,morocco,domaine,du,retro,one,confidential,address,make,charm,marrakech,take,place,exceptional,setting,domaine,du,retro,offer,journey,back,time,thanks,sumptuous,collection,vintage,car,include,famous,roll,royce,phantom,cadillac,eldorado,jaguar,xk,mercedes,sl,thirty,rare,vehicle,adorn,exceptional,place,dedicate,event,museum,domaine,du,rétro,offer,organize,wedding,garden,party,theme,night,gala,dinner,conference,seminar,celebration,event,unique,domaine,du,rétro,thanks,team,professional,guarantee,irreproachable,service,historic,site,point,interest,landmark,historic,walk,area",28,/maps/dir//Le+Domaine+Du+Retro+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdaff3039807767d:0x7943a36733887319?sa=X
29,Place des 7 Saints,"Place of the 7 Saints ,Bab Doukkala , Marrakech","The Seven Saints of Marrakech are a group of Sufi mystics and clerics revered in Moroccan popular Islam. These seven saints are buried in Marrakech and the visit to their tomb is traditionally carried out as part of a pilgrimage, called in Moroccan Arabic ziara.",,< 1 hour,,Points of Interest & Landmarks,"Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Chez Yassine,Dar Cherifa,Riad Kniza Restaurant,Terrasse de la fontaine,Ksar Es Saoussan,Lotus Privilège Moroccan Restaurant,",", '', ,","Place des 7 Saints ; Place of the 7 Saints ,Bab Doukkala , Marrakech ; The Seven Saints of Marrakech are a group of Sufi mystics and clerics revered in Moroccan popular Islam. These seven saints are buried in Marrakech and the visit to their tomb is traditionally carried out as part of a pilgrimage, called in Moroccan Arabic ziara. ; Points of Interest & Landmarks ; Bazaar Café,La Table Du Riad at 72 Riad Living,Ma Maison,Chez Yassine,Dar Cherifa,Riad Kniza Restaurant,Terrasse de la fontaine,Ksar Es Saoussan,Lotus Privilège Moroccan Restaurant,","place,des,saint,place,saint,bab,doukkala,marrakech,seven,saint,marrakech,group,sufi,mystic,cleric,revere,moroccan,popular,islam,seven,saint,bury,marrakech,visit,tomb,traditionally,carry,part,pilgrimage,call,moroccan,arabic,ziara,point,interest,landmark,bazaar,café,la,table,du,riad,riad,living,maison,chez,yassine,dar,cherifa,riad,kniza,restaurant,terrasse,de,la,fontaine,ksar,es,saoussan,lotus,privilège,moroccan,restaurant",29,
30,Place de Foucauld,"J2F5+FMR, Avenue El Mouahidine, Marrakech 40000","The gardens around the famous Koutobia mosque have been revitalized, the fountains are working again and people like to sit amidst the well tended greenery. This has inevitably also attracted more tourist hasslers, most visible of them the watermen. Dressed in red ethnic clothing with wide rimmed hats they don't anymore make their living by pouring water for customers from their leather satchels, but will crowd any tourist group and demand dirhams for photographs.",,,,Points of Interest & Landmarks,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Medersa Ben Youssef,","Place de Foucauld ; J2F5+FMR, Avenue El Mouahidine, Marrakech 40000 ; The gardens around the famous Koutobia mosque have been revitalized, the fountains are working again and people like to sit amidst the well tended greenery. This has inevitably also attracted more tourist hasslers, most visible of them the watermen. Dressed in red ethnic clothing with wide rimmed hats they don't anymore make their living by pouring water for customers from their leather satchels, but will crowd any tourist group and demand dirhams for photographs. ; Points of Interest & Landmarks ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","place,de,foucauld,avenue,el,mouahidine,marrakech,garden,around,famous,koutobia,mosque,revitalize,fountain,work,people,like,sit,amidst,well,tend,greenery,inevitably,also,attract,tourist,hasslers,visible,waterman,dress,red,ethnic,clothing,wide,rim,hat,anymore,make,living,pour,water,customer,leather,satchel,crowd,tourist,group,demand,dirham,photograph,point,interest,landmark,restaurant,naima,chez,ahmed,jnane,tamsna,yami,le,piri,piri,restaurant,riad,hamdane,le,chineur,le,tanjiers",30,/maps/dir//Place+de+Foucauld+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee60f5ccef1b:0xa93f2b6651d0bca2?sa=X
31,Musee Mohammed VI pour la civilisation de L'eau au Moroc,"AddressCircuit de la Palmeraie Avenue Abdelkarim El Khattabi, Marrakech 40000 Morocco","The Aman Museum, also called the Marrakech Water Museum or the Mohammed VI Museum for the Civilization of Water, is a museum in Marrakech dedicated to water and hydraulic techniques in traditional Morocco. It is located at the northern entrance to Marrakech, in the Palmeraie sector.",http://www.museemohammed6aman.ma/,1-2 hours,,Points of Interest & Landmarks,", '', ,","Jardin Majorelle,Medina of Marrakesh,Palácio da Bahia,Sahara Riders,The Orientalist Museum of Marrakech,Jemaa el-Fnaa,Boucharouite Museum,Maison de la Photographie,Dar El Bacha - Musee des Confluences,","Musee Mohammed VI pour la civilisation de L'eau au Moroc ; AddressCircuit de la Palmeraie Avenue Abdelkarim El Khattabi, Marrakech 40000 Morocco ; The Aman Museum, also called the Marrakech Water Museum or the Mohammed VI Museum for the Civilization of Water, is a museum in Marrakech dedicated to water and hydraulic techniques in traditional Morocco. It is located at the northern entrance to Marrakech, in the Palmeraie sector. ; Points of Interest & Landmarks ; , '', ,","musee,mohammed,vi,pour,la,civilisation,de,au,moroc,addresscircuit,de,la,palmeraie,avenue,abdelkarim,el,khattabi,marrakech,morocco,aman,museum,also,call,marrakech,water,museum,mohammed,vi,museum,civilization,water,museum,marrakech,dedicate,water,hydraulic,technique,traditional,morocco,locate,northern,entrance,marrakech,palmeraie,sector,point,interest,landmark",31,/maps/dir//Musee+Mohammed+VI+pour+la+civilisation+de+L'eau+au+Maroc+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafedafdd682311:0x37849a70c6ff1cff?sa=X
32,Mosquée Sidi-bel-Abbès,"J2Q5+JM7, Marrakesh 40000","The Zaouia of Sidi Bel Abbès is a religious building located in Marrakech in Morocco honoring the memory of the patron saint of the city, Sidi Bel Abbès better known under the name of Abu al-Abbas as-Sabti.",http://www.servicesahara.com/,,12:00 AM - 11:59 PM,Points of Interest & Landmarks,", '', ,","Foundouk el Amri el al Mizane,Ksar of Ait-Ben-Haddou,Jardin Majorelle,Palácio da Bahia,Medina of Marrakesh,Jemaa el-Fnaa,Sahara Riders,The Orientalist Museum of Marrakech,Boucharouite Museum,","Mosquée Sidi-bel-Abbès ; J2Q5+JM7, Marrakesh 40000 ; The Zaouia of Sidi Bel Abbès is a religious building located in Marrakech in Morocco honoring the memory of the patron saint of the city, Sidi Bel Abbès better known under the name of Abu al-Abbas as-Sabti. ; Points of Interest & Landmarks ; , '', ,","mosquée,marrakesh,zaouia,sidi,bel,abbès,religious,building,locate,marrakech,morocco,honor,memory,patron,saint,city,sidi,bel,abbès,well,know,name,abu,point,interest,landmark",32,/maps/dir//Mosqu%C3%A9e+Sidi-bel-Abb%C3%A8s+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6febb0b9b9:0x14407e8a97574732?sa=X
33,Fontaine Chrob Ou Chouf,"J2P7+577, Street, Marrakesh 40000","The chrob or chouf fountain located near the Ben Youssef mosque in the heart of the medina of Marrakech, was raised under Ahmed el-Mansour. Its crown is executed in wood in the form of a honeycomb, all covered with a sloping roof covered with green tiles.",,< 1 hour,,Points of Interest & Landmarks, , ,"Fontaine Chrob Ou Chouf ; J2P7+577, Street, Marrakesh 40000 ; The chrob or chouf fountain located near the Ben Youssef mosque in the heart of the medina of Marrakech, was raised under Ahmed el-Mansour. Its crown is executed in wood in the form of a honeycomb, all covered with a sloping roof covered with green tiles. ; Points of Interest & Landmarks ;  ","fontaine,chrob,ou,chouf,street,marrakesh,chrob,chouf,fountain,locate,near,ben,youssef,mosque,heart,medina,marrakech,raise,ahmed,crown,execute,wood,form,honeycomb,cover,slop,roof,cover,green,tile,point,interest,landmark",33,/maps/dir//Fontaine+Chrob+Ou+Chouf+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6ea8b78dc5:0xd19c8ed842f7678b?sa=X
34,Berber Cultural Center,"652W+XFM, National Road No. 8, Imintanoute","The Berber Culture Centre, in the foothills of the Atlas Mountains, offers an array of activities from day trips to extended stays e.g. experience a day in the life of a Berber, use as a base for trekking, or come to learn and practice Arabic. Visitors can rely on years of experience in hospitality, event hosting and tours. Your stay at BCC will provide direct support to the local economy, education, local people and land.",https://www.facebook.com/berberculturalcenter/,2-3 hours,,Educational sites,", '', ,","Palácio da Bahia,Medina of Marrakesh,Sahara Riders,Jardin Majorelle,Jemaa el-Fnaa,Miaara Jewish Cemetery,Boucharouite Museum,Musée Tiskiwin,Dar Si Said Museum,","Berber Cultural Center ; 652W+XFM, National Road No. 8, Imintanoute ; The Berber Culture Centre, in the foothills of the Atlas Mountains, offers an array of activities from day trips to extended stays e.g. experience a day in the life of a Berber, use as a base for trekking, or come to learn and practice Arabic. Visitors can rely on years of experience in hospitality, event hosting and tours. Your stay at BCC will provide direct support to the local economy, education, local people and land. ; Educational sites ; , '', ,","berber,cultural,center,national,road,imintanoute,berber,culture,centre,foothill,atlas,mountain,offer,array,activity,day,trip,extend,stay,experience,day,life,berber,use,base,trek,come,learn,practice,arabic,visitor,rely,year,experience,hospitality,event,hosting,tour,stay,bcc,provide,direct,support,local,economy,education,local,people,land,educational,site",34,
35,Mouassine fountain,"J2H6+X7W, Rue Sidi el Yamani, Marrakesh 40000",The Mouassine fountain is part of the religious complex of Mouassine in Marrakech; where the tradition of building public fountains is old but took on a very monumental character during the Saadian period.,,,,Fountains,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Mechouar Square of Allegiance,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Medersa Ben Youssef,","Mouassine fountain ; J2H6+X7W, Rue Sidi el Yamani, Marrakesh 40000 ; The Mouassine fountain is part of the religious complex of Mouassine in Marrakech; where the tradition of building public fountains is old but took on a very monumental character during the Saadian period. ; Fountains ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","mouassine,fountain,rue,sidi,el,yamani,marrakesh,mouassine,fountain,part,religious,complex,mouassine,marrakech,tradition,build,public,fountain,old,take,monumental,character,saadian,period,fountains,restaurant,naima,chez,ahmed,jnane,tamsna,yami,le,piri,piri,restaurant,riad,hamdane,le,chineur,le,tanjiers",35,/maps/dir//Mouassine+fountain+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee683353e23d:0x724b6b1edecc4f4b?sa=X
36,Village des Potiers,"157 Village Des Potiers , Oulja, Salé 11030","When entering Marrakech by the road from Agadir and Essaouira, on your left you will find the village of potters. This charming complex is a reserve of handicrafts. In these shopping streets, craftsmen make basketry, pottery in tadelakt or stucco, wrought iron furniture, lighting, bejmat tiles, etc. Here you will be in direct contact with the craftsman who will explain his trade to you. The prices are much cheaper than those in the souk.",,,,Points of Interest & Landmarks, , ,"Village des Potiers ; 157 Village Des Potiers , Oulja, Salé 11030 ; When entering Marrakech by the road from Agadir and Essaouira, on your left you will find the village of potters. This charming complex is a reserve of handicrafts. In these shopping streets, craftsmen make basketry, pottery in tadelakt or stucco, wrought iron furniture, lighting, bejmat tiles, etc. Here you will be in direct contact with the craftsman who will explain his trade to you. The prices are much cheaper than those in the souk. ; Points of Interest & Landmarks ;  ","village,des,potiers,village,de,potiers,oulja,salé,enter,marrakech,road,agadir,essaouira,left,find,village,potter,charming,complex,reserve,handicraft,shop,street,craftsman,make,basketry,pottery,tadelakt,stucco,work,iron,furniture,light,bejmat,tile,etc,direct,contact,craftsman,explain,trade,price,much,cheap,souk,point,interest,landmark",36,
37,Maison Denise Masson,"AddressRue Ibn Khaldoun, Marrakech 40000 Morocco","The Denise Masson Foundation contributes to the operation of a cultural institution located in the heart of the medina of Marrakech, dedicated to artistic exchanges between France and Morocco, and a research center promoting greater understanding between cultures and religions.",http://www.maisondenisemasson.ma/,< 1 hour,,Points of Interest & Landmarks • Civic Centres,"Taj Moroccan Food,Âme et Saveurs,Gastro MK at Maison MK,La Villa Des Orangers - Restaurant,Fine Mama?,Snack Grand Atlas,Café Kif Kif,Jemaa ElFna Restaurant,Kabana,","Dar Moulay Ali, Maison de la France à Marrakech,Koutoubia Mosque,Jemaa el-Fnaa,Parc Lalla Hasna,Palácio da Bahia,Mausoleum of Youssef Ben Tachfine,Musée de la Musique,Musée Yves Saint Laurent Marrakech,Medina of Marrakesh,","Maison Denise Masson ; AddressRue Ibn Khaldoun, Marrakech 40000 Morocco ; The Denise Masson Foundation contributes to the operation of a cultural institution located in the heart of the medina of Marrakech, dedicated to artistic exchanges between France and Morocco, and a research center promoting greater understanding between cultures and religions. ; Points of Interest & Landmarks • Civic Centres ; Taj Moroccan Food,Âme et Saveurs,Gastro MK at Maison MK,La Villa Des Orangers - Restaurant,Fine Mama?,Snack Grand Atlas,Café Kif Kif,Jemaa ElFna Restaurant,Kabana,","maison,denise,masson,addressrue,ibn,khaldoun,marrakech,morocco,denise,masson,foundation,contribute,operation,cultural,institution,locate,heart,medina,marrakech,dedicate,artistic,exchange,france,morocco,research,center,promote,great,understand,culture,religion,point,interest,landmark,civic,centre,taj,moroccan,food,âme,et,saveurs,gastro,mk,maison,mk,la,villa,de,orangers,restaurant,fine,mama,snack,grand,atlas,café,kif,kif,jemaa,elfna,restaurant,kabana",37,/maps/dir//Maison+Denise+Masson+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee66f09a7e69:0x941bc494129870af?sa=X
38,Koubba of Fatima Zohra,"AddressAvenue Mohammed V, 40020, Marrakech 40020 Morocco","The plain-white modest structure that sits near the Koutoubia Mosque is the tomb of Fatima Zohra, daughter of a revered local religious leader. Local legends abound about Fatima Zohra's mystical powers, but the most popular story is that she would turn into a dove every evening and only resume human form at sunrise.",,< 1 hour,,Points of Interest & Landmarks • Cemeteries • Monuments & Statues,", '', ,","Jardin Majorelle,Palácio da Bahia,Medina of Marrakesh,Jemaa el-Fnaa,Ksar of Ait-Ben-Haddou,Sahara Riders,Medersa Ben Youssef,Marrakech Ramparts,The Orientalist Museum of Marrakech,","Koubba of Fatima Zohra ; AddressAvenue Mohammed V, 40020, Marrakech 40020 Morocco ; The plain-white modest structure that sits near the Koutoubia Mosque is the tomb of Fatima Zohra, daughter of a revered local religious leader. Local legends abound about Fatima Zohra's mystical powers, but the most popular story is that she would turn into a dove every evening and only resume human form at sunrise. ; Points of Interest & Landmarks • Cemeteries • Monuments & Statues ; , '', ,","koubba,fatima,zohra,addressavenue,mohammed,marrakech,morocco,modest,structure,sit,near,koutoubia,mosque,tomb,fatima,zohra,daughter,revered,local,religious,leader,local,legend,abound,fatima,zohra,mystical,power,popular,story,would,turn,dove,every,evening,resume,human,form,sunrise,point,interest,landmark,cemetery,monument,statue",38,/maps/dir//Koubba+of+Fatima+Zohra+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee5cc14e427b:0x269130404257413d?sa=X
39,Les Secrets Hammam&spa,"AddressRue de la Liberte Gueliz, Marrakech 40000 Morocco","Les Secrets Hammam & Spa is a place of relaxation and rest dedicated to the well-being of the body. It offers a hammam-scrub, followed by numerous treatments and massages, to make your skin look new.
A sensual journey to the heart of the traditional rituals of the Orient.
It is a steam bath with a scrub, body massage, traditional plastic and energy with argan oil and ghassoul. Discover the list of boutique accessories, jewelry, clothing and toiletries. An amazing place!",+2125244-34848,,,Points of Interest & Landmarks,"Patisserie Gato,Le Tire Bouchon Marrakech,Baromètre Marrakech,La Palette Restaurant Marrakech,Azar,Chez Mado,Entrepotes,Le 68 Bar A Vin,Libzar,","MACMA Musee d'Art et de Culture de Marrakech,Jardin Majorelle,Wall Street Gallery,Palácio da Bahia,Marrakech Train Station,Jardin Jnane El Harti,Medina of Marrakesh,Jemaa el-Fnaa,Galerie Le Coeur Blanc,","Les Secrets Hammam&spa ; AddressRue de la Liberte Gueliz, Marrakech 40000 Morocco ; Les Secrets Hammam & Spa is a place of relaxation and rest dedicated to the well-being of the body. It offers a hammam-scrub, followed by numerous treatments and massages, to make your skin look new.
A sensual journey to the heart of the traditional rituals of the Orient.
It is a steam bath with a scrub, body massage, traditional plastic and energy with argan oil and ghassoul. Discover the list of boutique accessories, jewelry, clothing and toiletries. An amazing place! ; Points of Interest & Landmarks ; Patisserie Gato,Le Tire Bouchon Marrakech,Baromètre Marrakech,La Palette Restaurant Marrakech,Azar,Chez Mado,Entrepotes,Le 68 Bar A Vin,Libzar,","le,secret,hammam,spa,addressrue,de,la,liberte,gueliz,marrakech,morocco,les,secret,hammam,spa,place,relaxation,rest,dedicate,body,offer,follow,numerous,treatment,massage,make,skin,look,new,sensual,journey,heart,traditional,ritual,orient,steam,bath,scrub,body,massage,traditional,plastic,energy,argan,oil,ghassoul,discover,list,boutique,accessory,jewelry,clothing,toiletry,amazing,place,point,interest,landmark,patisserie,gato,le,tire,bouchon,marrakech,baromètre,marrakech,la,palette,restaurant,marrakech,azar,chez,mado,entrepotes,le,bar,vin,libzar",39,
40,Viewpoint on the N9 over the High Atlas,"Marrakech 40000 , Morocco","Tizi n'Tichka (Col du Tichka) is a high mountain pass at an elevation of 2.212m (7,257ft) above the sea level, located on the boundary between Marrakesh-Safi and Drâa-Tafilalet regions in central Morocco in Northern Africa. Tizi n’Tichka means “difficult mountain pasture” in Berber and you’ll see why.
Set high in the High Atlas mountains, the road to the summit is totally paved. It’s called Route Nationale 9 (formerly Route P-31). The pass is 54km (33 miles) long, running north-south from Zerkten to Agouim. The road was built as a military highway in 1936 by the French. Today, Route Nationale 9 links the south-east of Marrakesh to the city of Ouarzazate",,< 1 hour,12:00 AM - 11:59 PM,Lookouts,"Cafe-Restaurant Assanfou,Auberge Agdal,", ,"Viewpoint on the N9 over the High Atlas ; Marrakech 40000 , Morocco ; Tizi n'Tichka (Col du Tichka) is a high mountain pass at an elevation of 2.212m (7,257ft) above the sea level, located on the boundary between Marrakesh-Safi and Drâa-Tafilalet regions in central Morocco in Northern Africa. Tizi n’Tichka means “difficult mountain pasture” in Berber and you’ll see why.
Set high in the High Atlas mountains, the road to the summit is totally paved. It’s called Route Nationale 9 (formerly Route P-31). The pass is 54km (33 miles) long, running north-south from Zerkten to Agouim. The road was built as a military highway in 1936 by the French. Today, Route Nationale 9 links the south-east of Marrakesh to the city of Ouarzazate ; Lookouts ; Cafe-Restaurant Assanfou,Auberge Agdal,","viewpoint,high,atlas,marrakech,morocco,tizi,col,du,tichka,high,mountain,pas,elevation,sea,level,locate,boundary,region,central,morocco,northern,africa,tizi,tichka,mean,difficult,mountain,pasture,berber,see,set,high,high,atlas,mountain,road,summit,totally,paved,call,route,nationale,formerly,route,pas,mile,long,run,zerkten,agouim,road,build,military,highway,french,today,route,nationale,link,marrakesh,city,ouarzazate,lookout,assanfou,auberge,agdal",40,
41,Tahanout,"Tahanaot , Marrakesh","Tahannaout, or Tahanaout, is a city in Morocco. It is located in the Marrakech-Safi region, 30 km from Marrakech, near the High Atlas mountains. Despite its modest dimensions, the city is the capital of the Province of Al Haouz.",http://www.atlas-kinder.org/de/,,,Lookouts • Missions,"O'Square,Le BED Marrakech,Highway,Mes'Lalla,O' Pecheur,Samakhouse,The Pool Garden,Le Salon Berbère,Chez Coco,","Palácio da Bahia,Jardin Majorelle,Medina of Marrakesh,Sahara Riders,Jemaa el-Fnaa,Museum of African Contemporary Art Al Maaden,Adouar Marrakech,Boucharouite Museum,The Orientalist Museum of Marrakech,","Tahanout ; Tahanaot , Marrakesh ; Tahannaout, or Tahanaout, is a city in Morocco. It is located in the Marrakech-Safi region, 30 km from Marrakech, near the High Atlas mountains. Despite its modest dimensions, the city is the capital of the Province of Al Haouz. ; Lookouts • Missions ; O'Square,Le BED Marrakech,Highway,Mes'Lalla,O' Pecheur,Samakhouse,The Pool Garden,Le Salon Berbère,Chez Coco,","tahanout,tahanaot,marrakesh,tahannaout,tahanaout,city,morocco,locate,region,km,marrakech,near,high,atlas,mountain,despite,modest,dimension,city,capital,province,al,haouz,lookouts,mission,le,bed,marrakech,highway,pecheur,samakhouse,pool,garden,le,salon,berbère,chez,coco",41,
42,Aromatimri,"27 Rue des Banques, Marrakech 40000","Since 1968, AROMATIMRI has been a benchmark for high natural cosmetics in Marrakech. Its family tradition and craftsmanship have been used in the development of its products for the care of health and beauty. Secrets passed down from generation to generation make AROMATIMRI a prestigious cosmetics company.",http://www.aromatimri.com/,< 1 hour,10:00 AM - 10:00 PM,Speciality & Gift Shops • Historic Sites • Architectural Buildings,"Casa Lalla Restaurant,Votre Table,Taj Moroccan Food,L'Mida Marrakech,Cuisine De Terroir,La Cantine Des Gazelles,Jemaa ElFna Restaurant,Cafe Babouche,BlackChich Cafe Restaurant,","Musée Yves Saint Laurent Marrakech,Jemaa el-Fnaa,Heritage Museum Marrakech,Palácio da Bahia,Rahba Kedima Square,Boucharouite Museum,Food Markets of Marrakech,Dar Si Said Museum,Musée de la Musique,","Aromatimri ; 27 Rue des Banques, Marrakech 40000 ; Since 1968, AROMATIMRI has been a benchmark for high natural cosmetics in Marrakech. Its family tradition and craftsmanship have been used in the development of its products for the care of health and beauty. Secrets passed down from generation to generation make AROMATIMRI a prestigious cosmetics company. ; Speciality & Gift Shops • Historic Sites • Architectural Buildings ; Casa Lalla Restaurant,Votre Table,Taj Moroccan Food,L'Mida Marrakech,Cuisine De Terroir,La Cantine Des Gazelles,Jemaa ElFna Restaurant,Cafe Babouche,BlackChich Cafe Restaurant,","aromatimri,rue,de,banques,marrakech,since,aromatimri,benchmark,high,natural,cosmetic,marrakech,family,tradition,craftsmanship,use,development,product,care,health,beauty,secret,pass,generation,generation,make,aromatimri,prestigious,cosmetic,company,speciality,gift,shop,historic,site,architectural,building,casa,lalla,restaurant,votre,table,taj,moroccan,food,marrakech,cuisine,de,terroir,la,cantine,de,gazelle,jemaa,elfna,restaurant,cafe,babouche,blackchich,cafe,restaurant",42,/maps/dir//Aromatimri+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef71515665c5:0xbcc872a84f134db9?sa=X
